cod;nome;período;valor
21;MA;2022;1942
25;PB;2022;1105
26;PE;2022;3409
15;PA;2022;2901
24;RN;2022;1167
32;ES;2023;1161
42;SC;2023;658
53;DF;2023;348
14;RR;2023;219
33;RJ;2023;4291
41;PR;2023;2215
17;TO;2023;419
43;RS;2023;1981
23;CE;2023;2992
31;MG;2023;2795
12;AC;2023;217
21;MA;2023;2007
29;BA;2023;6615
15;PA;2023;2542
25;PB;2023;1079
52;GO;2023;1583
27;AL;2023;1194
13;AM;2023;1555
16;AP;2023;516
11;RO;2023;552
28;SE;2023;698
50;MS;2023;584
22;PI;2023;725
26;PE;2023;3698
24;RN;2023;955
51;MT;2023;1105
35;SP;2023;3043
